product_id,product_name,category,sub_category,brand,price,cost,weight_kg,rating,review_count,is_active,created_date
26,Virtual holistic process improvement,Books,Children's,"Smith, Schmidt and Martin",60.73,31.75,20.5,4.2,84,True,2022-02-18
27,Organic cohesive product,Books,Comics & Graphic Novels,Lee-Thomas,51.8,29.66,13.23,4.3,85,True,2022-06-12
28,Open-architected tertiary capacity,Food & Gourmet,Beverages,Cobb-Carlson,38.61,25.64,14.87,3.4,47,True,2022-08-05
29,Sharable radical Internet solution,Home & Garden,Kitchen,Hernandez-Douglas,658.83,320.49,18.01,1.8,46,True,2022-11-19
30,Customizable bifurcated capability,Food & Gourmet,Organic,Marks and Sons,19.67,11.48,12.87,3.7,184,True,2022-12-24
31,Inverse eco-centric portal,Clothing,Women's Wear,Brown and Sons,233.3,85.73,6.76,4.6,72,True,2022-04-10
32,Innovative solution-oriented utilization,Sports & Outdoors,Camping & Hiking,"Romero, Sanchez and Wright",170.11,95.62,12.53,4.6,0,True,2022-09-08
33,Pre-emptive executive functionalities,Sports & Outdoors,Cycling,Brandt-Taylor,144.05,80.81,5.94,5.0,77,True,2022-04-27
34,Managed multi-state paradigm,Home & Garden,Furniture,Barrett-Esparza,23.01,13.69,0.16,4.2,128,True,2022-08-06
35,Innovative radical architecture,Books,Comics & Graphic Novels,Clark-Williams,75.46,38.3,14.0,5.0,291,True,2022-07-06
36,Balanced fresh-thinking time-frame,Home & Garden,Decor,Williams Ltd,705.58,341.86,24.08,2.9,77,True,2022-08-23
37,Operative dedicated open architecture,Toys & Games,Outdoor Play,"Waters, Torres and Miller",155.02,68.21,5.17,3.9,63,True,2022-05-01
38,Extended coherent ability,Clothing,Women's Wear,Wright PLC,115.24,62.42,16.75,4.0,97,True,2022-04-20
39,Multi-channeled demand-driven product,Beauty & Personal Care,Fragrance,Mathis-Garrett,125.44,37.01,21.97,3.1,95,True,2022-11-19
40,Enhanced systemic productivity,Home & Garden,Furniture,Clark-Freeman,667.65,340.0,6.86,3.2,272,True,2022-05-23
41,Cloned 6thgeneration Local Area Network,Sports & Outdoors,Camping & Hiking,Johnson Inc,34.97,22.16,18.64,3.0,15,True,2022-06-12
42,Re-contextualized multi-tasking middleware,Food & Gourmet,Gourmet & Specialty,"Edwards, Lopez and Martinez",32.44,21.22,22.77,3.8,5250,True,2022-06-21
43,Public-key dynamic Graphic Interface,Electronics,Cameras,Reed PLC,788.42,555.75,15.82,3.6,15,True,2022-08-31
44,Extended 5thgeneration initiative,Clothing,Kids' Clothing,Peters-Spencer,134.47,72.1,10.49,3.8,85,True,2022-04-15
45,Decentralized actuating Local Area Network,Electronics,Tablets,Kim Ltd,1927.03,1393.73,10.88,4.3,63,True,2022-08-11
46,Assimilated radical pricing structure,Electronics,Headphones,Johnson-Williams,957.46,670.89,13.38,4.6,115,True,2022-09-08
47,Customizable zero administration circuit,Books,Non-Fiction,Johnson and Sons,63.25,37.29,24.6,3.3,2,True,2022-01-14
48,Right-sized modular throughput,Beauty & Personal Care,Hair Care,Wilson-Barnett,94.51,38.92,11.24,4.1,71,True,2022-10-28
49,Organized exuding middleware,Home & Garden,Bedding,Rodriguez-Becker,246.11,138.17,24.78,2.2,44,True,2022-04-21
50,Self-enabling demand-driven benchmark,Home & Garden,Bedding,"Stone, Hernandez and Koch",250.07,146.81,3.99,3.9,43,True,2022-08-30
51,Function-based zero-defect hub,Books,Fiction,"Smith, Jimenez and Steele",27.61,15.64,21.73,4.6,26,True,2022-10-08
52,Reverse-engineered 3rdgeneration emulation,Toys & Games,Action Figures,Smith-Webb,14.58,8.27,8.92,3.9,77,True,2022-01-08
53,Seamless 4thgeneration portal,Books,Non-Fiction,Garcia-Stewart,49.25,21.39,4.72,2.8,72,True,2022-02-26
54,Cross-group even-keeled portal,Sports & Outdoors,Cycling,"Ramirez, Flores and Perry",465.78,241.12,3.76,3.2,67,True,2022-06-21
55,Integrated static open system,Books,Fiction,Smith-Zhang,12.28,5.1,8.92,4.6,103,True,2022-01-28
56,Cross-group national system engine,Clothing,Kids' Clothing,Garcia-Blevins,167.16,62.63,7.66,2.1,72,True,2022-02-21
57,Centralized background database,Clothing,Kids' Clothing,Porter-Jackson,100.95,44.08,1.16,3.7,382,True,2022-08-16
58,Configurable methodical architecture,Electronics,Smart Home,Johnson-Little,1296.58,938.01,17.34,2.4,79,True,2022-06-12
59,Multi-tiered scalable monitoring,Clothing,Women's Wear,Irwin-Conway,173.5,78.87,24.02,4.8,96,True,2022-11-29
60,Centralized secondary intranet,Electronics,Laptops,Martin-Jones,1730.64,1201.45,4.57,4.6,250,True,2022-05-25
61,Adaptive attitude-oriented emulation,Home & Garden,Decor,"Morse, Woodward and Washington",822.98,490.99,12.15,2.6,26,True,2022-06-16
62,Persevering asynchronous capability,Clothing,Shoes,"King, Valdez and Bender",184.92,79.97,6.51,4.4,78,True,2022-09-13
63,Team-oriented cohesive methodology,Books,Comics & Graphic Novels,"Benjamin, Baker and West",6.88,3.6,15.51,4.3,66,True,2022-11-30
64,Synchronized directional policy,Beauty & Personal Care,Bath & Body,"Vincent, Robinson and Robertson",69.14,29.66,11.73,3.6,52,True,2022-02-23
65,Distributed empowering open system,Books,Non-Fiction,Foster-Guerrero,75.16,33.65,19.28,4.6,0,True,2022-07-20
66,Optimized maximized website,Books,Non-Fiction,Ellis-Kennedy,25.02,12.35,7.35,2.3,14,True,2022-12-15
67,Open-source tertiary utilization,Clothing,Accessories,"Figueroa, Lawrence and Zuniga",85.61,40.67,3.36,3.3,153,True,2022-01-28
68,Robust modular hardware,Books,Fiction,"Skinner, Meyers and Simmons",16.63,7.24,5.0,3.6,75,True,2022-04-20
69,Profound systemic approach,Clothing,Men's Wear,Larson Inc,68.72,31.24,1.19,3.6,70,True,2022-09-22
70,Right-sized disintermediate encryption,Food & Gourmet,Gourmet & Specialty,Walls-Sweeney,44.69,32.61,18.71,5.0,81,True,2022-12-26
71,Optimized upward-trending attitude,Clothing,Kids' Clothing,"Palmer, Powell and Baldwin",12.73,6.97,7.03,3.3,63,False,2022-07-17
72,Realigned leadingedge array,Books,Non-Fiction,"Ward, Galvan and Harris",54.95,30.16,0.66,3.4,38,True,2022-01-12
73,Synchronized systematic analyzer,Electronics,Headphones,Arnold and Sons,1940.29,1078.04,20.35,2.9,309,True,2022-06-09
74,Self-enabling national attitude,Food & Gourmet,Beverages,Schneider-Sharp,54.52,31.47,21.84,4.8,249,True,2022-07-27
75,Organic analyzing moderator,Home & Garden,Furniture,Taylor and Sons,862.09,542.18,0.39,4.1,89,True,2022-03-16
76,Cloned methodical access,Sports & Outdoors,Camping & Hiking,"Ward, Reynolds and Clark",415.69,254.23,2.95,4.4,96,True,2022-02-25
77,Realigned 4thgeneration time-frame,Clothing,Kids' Clothing,"Thompson, Larsen and Wolfe",22.59,10.57,15.14,4.1,196,True,2022-03-17
78,Reverse-engineered dynamic array,Clothing,Shoes,"Howard, Smith and Tucker",68.64,32.39,9.28,3.6,56,True,2022-12-07
79,Enterprise-wide web-enabled data-warehouse,Home & Garden,Bedding,"Brooks, Jones and Conner",669.79,329.6,17.36,2.0,98,True,2022-03-02
80,Automated didactic workforce,Home & Garden,Decor,Miller-Rich,404.48,259.95,16.51,4.1,79,True,2022-11-24
81,Organic multi-state hierarchy,Sports & Outdoors,Exercise Equipment,Perry-Garcia,262.37,151.81,6.47,3.1,0,True,2022-05-05
82,Synergistic demand-driven toolset,Home & Garden,Decor,Brooks-Simmons,175.07,95.77,8.96,5.0,89,True,2022-01-30
83,Centralized analyzing hardware,Clothing,Accessories,Gomez Group,15.8,6.87,0.1,4.2,47,True,2022-04-01
84,Re-contextualized zero administration service-desk,Electronics,Smart Home,Rosario PLC,1041.8,669.9,15.82,3.6,313,True,2022-11-14
85,Public-key logistical capacity,Electronics,Smartphones,Elliott PLC,1998.25,1347.8,0.72,2.5,59,True,2022-06-19
86,Monitored foreground product,Beauty & Personal Care,Skincare,Lee-Martinez,138.46,57.29,17.09,2.4,160,True,2022-09-25
87,Multi-channeled tertiary application,Sports & Outdoors,Water Sports,Gonzalez Ltd,72.36,41.33,19.64,4.1,203,False,2022-08-18
88,Reactive heuristic analyzer,Electronics,Cameras,"Jones, Benson and Valenzuela",702.34,431.64,14.89,4.6,83,True,2022-07-22
89,Extended explicit circuit,Electronics,Laptops,"Williams, Myers and Wilson",1000.79,659.06,18.79,4.0,79,True,2022-03-01
90,Seamless cohesive productivity,Toys & Games,Board Games,Graham and Sons,162.52,91.03,20.92,3.6,101,True,2022-08-10
91,Synchronized attitude-oriented superstructure,Books,Textbooks,"Johnson, Garcia and Dawson",70.51,28.6,22.37,3.9,259,True,2022-10-22
92,Digitized exuding collaboration,Beauty & Personal Care,Makeup,Vasquez and Sons,149.58,43.83,16.88,3.0,54,True,2022-01-26
93,Multi-lateral 6thgeneration artificial intelligence,Food & Gourmet,Snacks,Villegas PLC,16.5,11.58,8.12,4.3,405,True,2022-07-07
94,Adaptive uniform matrices,Toys & Games,Educational,Leach Ltd,92.21,52.82,15.51,4.8,56,True,2022-03-18
95,Innovative heuristic task-force,Sports & Outdoors,Camping & Hiking,"Holland, Snyder and Dixon",219.95,140.04,9.11,4.1,533,True,2022-03-16
96,Optional object-oriented pricing structure,Sports & Outdoors,Water Sports,Hunt-Hudson,239.83,153.87,19.23,4.3,83,True,2022-12-27
97,Enhanced tangible paradigm,Clothing,Kids' Clothing,Hurley and Sons,163.02,85.26,6.84,3.5,92,True,2022-04-03
98,Organized optimal throughput,Home & Garden,Decor,Reid-Johnson,415.29,235.09,14.83,4.8,78,True,2022-03-07
99,Devolved client-server process improvement,Toys & Games,Board Games,Young Group,16.58,8.15,6.64,3.6,56,True,2022-03-14
100,User-centric modular capacity,Clothing,Men's Wear,Nguyen LLC,51.47,27.33,10.72,4.5,67,True,2022-05-16
101,Diverse bifurcated portal,Beauty & Personal Care,Fragrance,Patton-Glover,145.18,49.08,19.98,3.2,51,True,2022-02-20
102,Implemented client-driven ability,Toys & Games,Action Figures,Perez-Kelley,178.76,99.39,4.4,4.7,119,False,2022-03-22
103,Integrated homogeneous toolset,Sports & Outdoors,Cycling,Michael and Sons,207.62,123.26,3.15,2.9,114,True,2022-10-24
104,Innovative leadingedge hub,Clothing,Men's Wear,"Pratt, King and Flores",194.71,81.3,8.58,2.5,141,True,2022-12-10
105,Open-source dynamic process improvement,Books,Textbooks,Jones-Davis,70.41,30.42,4.87,4.7,63,True,2022-11-10
106,Re-contextualized client-server budgetary management,Clothing,Kids' Clothing,"Young, Roberts and Allen",18.98,8.89,12.94,3.9,175,False,2022-05-10
107,Visionary discrete architecture,Home & Garden,Decor,Taylor-Hernandez,471.83,289.6,20.88,4.1,126,True,2022-08-27
108,Triple-buffered multimedia open architecture,Sports & Outdoors,Team Sports,"Robertson, Miller and Smith",526.41,271.28,3.27,3.5,57,True,2022-10-02
109,Business-focused value-added hierarchy,Books,Non-Fiction,"Johnston, Aguirre and Duncan",76.14,32.75,23.36,3.9,70,True,2022-04-27
110,Optimized asynchronous interface,Electronics,Smartphones,Smith-Hensley,1537.28,1007.86,10.54,4.4,108,True,2022-03-07
111,Total bi-directional service-desk,Home & Garden,Garden Tools,"Roman, Mitchell and Hubbard",192.96,107.56,13.33,4.0,48,True,2022-10-25
112,Focused actuating moderator,Toys & Games,Board Games,Rojas LLC,51.72,28.96,3.99,3.1,56,True,2022-07-23
113,Phased cohesive capability,Home & Garden,Decor,Graham-Serrano,269.25,166.03,23.28,4.4,162,True,2022-04-18
114,Proactive multi-tasking matrix,Books,Textbooks,"Zimmerman, Norton and Walters",25.4,13.82,6.27,3.4,132,True,2022-11-30
115,Self-enabling modular architecture,Clothing,Kids' Clothing,"Randall, Simon and Bradford",56.09,20.5,13.91,4.1,138,True,2022-07-30
116,Optimized optimal utilization,Books,Textbooks,Fernandez-Murray,78.07,43.38,12.35,3.3,32,True,2022-02-10
117,Business-focused intermediate alliance,Sports & Outdoors,Camping & Hiking,Meyers-Robinson,414.74,226.24,18.45,4.8,95,True,2022-05-13
118,Sharable tangible encoding,Electronics,Smartphones,Norris Group,709.59,391.65,24.57,4.1,98,True,2022-02-23
119,Digitized empowering approach,Clothing,Men's Wear,"Murray, Young and Garcia",100.42,51.86,2.51,3.2,80,True,2022-03-28
120,Ergonomic real-time analyzer,Electronics,Laptops,Hart Group,297.41,173.56,9.23,2.7,98,True,2022-09-20
121,Seamless holistic open architecture,Beauty & Personal Care,Makeup,"Miller, Chen and Roberts",84.28,23.29,2.7,3.1,57,True,2022-03-17
122,Self-enabling didactic matrices,Food & Gourmet,Organic,Smith-Miller,11.17,6.96,4.63,3.5,57,True,2022-01-11
123,Public-key background projection,Sports & Outdoors,Exercise Equipment,Lopez Group,515.36,257.96,20.12,3.2,1542,True,2022-02-10
124,Secured mobile standardization,Electronics,Cameras,"Perez, Brown and Wallace",1312.88,936.74,17.53,3.6,48,True,2022-11-28
125,Triple-buffered grid-enabled standardization,Home & Garden,Decor,"Sanchez, Marsh and Burns",505.27,241.74,0.86,3.5,95,True,2022-10-04
126,Open-source mobile knowledgebase,Books,Textbooks,Elliott-Powell,79.86,35.31,18.33,2.8,65,True,2022-01-29
127,Business-focused local encryption,Books,Non-Fiction,Vang-Smith,13.35,5.42,3.2,4.2,294,True,2022-02-21
128,Reverse-engineered coherent software,Home & Garden,Kitchen,Reyes Inc,654.88,346.58,17.83,3.7,70,True,2022-01-29
129,Virtual empowering hardware,Clothing,Women's Wear,"Brock, Keller and Watkins",240.7,114.33,13.66,3.2,53,True,2022-08-08
130,Pre-emptive context-sensitive leverage,Home & Garden,Bedding,Ho LLC,863.38,453.97,11.09,3.4,77,True,2022-12-18
131,Adaptive dynamic database,Clothing,Men's Wear,Goodwin-Hicks,164.73,84.08,8.65,4.3,172,True,2022-05-12
132,Future-proofed 24/7 matrix,Food & Gourmet,Organic,Ellis-Hunt,34.77,23.06,9.33,2.9,126,True,2022-09-07
133,Proactive local product,Sports & Outdoors,Cycling,"Christian, Robertson and Everett",350.99,187.98,12.12,4.9,75,True,2022-08-07
134,Managed motivating encryption,Clothing,Women's Wear,Flores PLC,98.33,45.62,8.98,3.8,71,True,2022-07-02
135,Re-contextualized interactive complexity,Food & Gourmet,Gourmet & Specialty,"Williams, Cummings and Myers",48.04,29.68,18.4,4.5,101,True,2022-03-17
136,Versatile holistic adapter,Food & Gourmet,Beverages,Ibarra Ltd,46.59,31.56,4.16,2.2,133,True,2022-08-28
137,Polarized user-facing open architecture,Clothing,Women's Wear,Perry LLC,70.67,25.87,19.08,3.7,73,True,2022-06-10
138,Horizontal static workforce,Books,Children's,Davis PLC,23.87,12.5,23.47,4.3,78,True,2022-09-09
139,Extended grid-enabled orchestration,Clothing,Accessories,Fields PLC,131.0,56.26,7.71,3.1,22,True,2022-10-28
140,Synergistic bandwidth-monitored standardization,Food & Gourmet,Organic,"Martin, Ramos and Schultz",10.8,7.46,2.54,4.1,121,True,2022-12-19
141,Exclusive mobile project,Electronics,Tablets,Chase-Montgomery,1781.05,1157.28,21.66,5.0,92,True,2022-09-10
142,Right-sized real-time Graphical User Interface,Sports & Outdoors,Team Sports,Howard-Romero,553.61,342.6,2.56,4.5,73,True,2022-08-04
143,Seamless solution-oriented middleware,Sports & Outdoors,Cycling,Thompson and Sons,293.35,177.91,9.72,3.2,29,True,2022-10-20
144,Profit-focused responsive analyzer,Toys & Games,Outdoor Play,"Walters, Phillips and Miller",184.77,80.33,7.92,3.1,65,True,2022-12-18
145,Synergized transitional architecture,Electronics,Laptops,Kelly-Bryant,260.26,173.66,17.72,4.0,133,True,2022-01-16
146,Proactive transitional installation,Food & Gourmet,Snacks,Hall-Ward,25.53,17.42,4.09,5.0,59,True,2022-04-15
147,Customizable radical portal,Home & Garden,Bedding,Young-Maxwell,327.27,148.29,21.12,4.1,69,True,2022-05-20
148,Configurable disintermediate pricing structure,Food & Gourmet,Snacks,Bates-Flynn,13.9,9.91,17.97,2.8,72,True,2022-01-13
149,Configurable foreground initiative,Toys & Games,Outdoor Play,King LLC,154.6,90.25,10.01,4.3,36,True,2022-01-11
150,Reduced dynamic Local Area Network,Clothing,Kids' Clothing,Ross-Jones,140.53,55.41,15.35,4.3,100,True,2022-05-09
151,Triple-buffered bottom-line infrastructure,Clothing,Kids' Clothing,"Warren, Johnston and Edwards",123.34,47.25,12.63,4.4,60,True,2022-08-01
152,Fundamental homogeneous middleware,Books,Children's,Barnes Group,37.92,21.48,22.81,2.0,219,True,2022-02-03
153,Adaptive intermediate architecture,Home & Garden,Decor,"Nunez, Bailey and Hawkins",61.39,33.7,0.15,5.0,39,True,2022-10-30
154,Seamless optimizing structure,Clothing,Shoes,Reyes-Cain,116.67,60.66,3.83,4.5,66,False,2022-10-08
155,Multi-channeled leadingedge throughput,Clothing,Men's Wear,Walker-Long,122.88,60.9,15.14,3.7,127,True,2022-07-29
156,Cross-group local framework,Toys & Games,Board Games,Bradshaw and Sons,170.75,73.39,10.18,3.6,137,True,2022-03-27
157,Persevering foreground success,Food & Gourmet,Beverages,"Carter, Saunders and Jordan",44.58,31.34,8.95,3.6,41,True,2022-08-08
158,Assimilated disintermediate implementation,Sports & Outdoors,Cycling,"Clark, Payne and Hines",570.09,325.74,8.66,4.7,364,True,2022-01-24
159,Focused grid-enabled complexity,Clothing,Men's Wear,"Edwards, Stevens and Young",144.35,56.27,17.55,4.3,50,True,2022-02-15
160,Monitored leadingedge help-desk,Sports & Outdoors,Camping & Hiking,Taylor Group,56.92,32.34,23.34,5.0,1091,True,2022-11-11
161,Right-sized upward-trending toolset,Sports & Outdoors,Water Sports,Castillo LLC,343.7,184.67,8.54,5.0,134,True,2022-02-06
162,Public-key uniform service-desk,Home & Garden,Decor,Mathews LLC,544.84,249.8,1.23,4.3,101,False,2022-12-19
163,Multi-channeled analyzing projection,Clothing,Men's Wear,"Santana, Allen and White",146.48,60.86,23.74,4.5,97,True,2022-08-15
164,Managed 24/7 knowledge user,Food & Gourmet,Pantry Staples,"Sanford, Roberts and Schneider",53.78,30.11,20.62,2.9,371,True,2022-05-25
165,Operative multimedia throughput,Sports & Outdoors,Camping & Hiking,"Coleman, Baker and Hoffman",489.97,252.53,12.05,3.9,143,False,2022-11-02
166,Down-sized stable neural-net,Beauty & Personal Care,Fragrance,Kirby PLC,24.23,10.8,4.27,3.6,24,True,2022-05-22
167,Intuitive web-enabled function,Electronics,Tablets,Garcia-Olson,832.24,487.01,22.15,3.1,33,True,2022-11-23
168,Reverse-engineered zero administration initiative,Toys & Games,Educational,Peterson Ltd,94.75,54.41,22.9,4.2,384,True,2022-09-24
169,Diverse bifurcated database,Toys & Games,Action Figures,Shepard Group,33.37,16.54,24.07,5.0,20,True,2022-05-03
170,Networked zero-defect access,Toys & Games,Dolls,Joseph-Stewart,57.18,25.26,7.51,4.9,33,True,2022-08-13
171,Programmable client-driven matrices,Home & Garden,Furniture,Smith Group,74.05,43.49,20.47,3.7,209,True,2022-04-03
172,Persevering homogeneous framework,Beauty & Personal Care,Bath & Body,"Meyer, Delgado and Osborn",143.42,38.76,11.27,4.1,69,True,2022-10-17
173,Reactive disintermediate Graphic Interface,Home & Garden,Bedding,Williams LLC,396.81,234.23,23.65,3.8,125,True,2022-12-01
174,Persistent 24hour extranet,Clothing,Women's Wear,Nunez Inc,200.38,100.61,9.94,4.2,88,True,2022-10-23
175,Networked radical info-mediaries,Clothing,Shoes,Martinez PLC,123.74,51.84,18.85,4.9,130,True,2022-12-03
176,Innovative well-modulated Graphical User Interface,Toys & Games,Outdoor Play,Hobbs Ltd,199.5,95.51,20.31,3.7,69,True,2022-05-19
177,Exclusive multi-state workforce,Electronics,Smartphones,Jenkins-Shelton,1067.43,710.8,2.8,4.2,168,True,2022-01-16
178,Balanced system-worthy moderator,Electronics,Tablets,"Quinn, Diaz and Hickman",121.58,73.22,6.27,3.6,215,False,2022-01-03
179,De-engineered fresh-thinking contingency,Clothing,Women's Wear,Anderson-Carter,158.85,77.11,3.17,3.2,221,True,2022-09-14
180,Profit-focused modular success,Clothing,Shoes,"Hammond, Castaneda and Anderson",81.27,37.77,21.71,2.4,147,False,2022-12-08
181,Innovative global encryption,Beauty & Personal Care,Skincare,Wilson and Sons,44.27,16.59,1.37,4.0,36,True,2022-10-09
182,Multi-lateral clear-thinking customer loyalty,Clothing,Accessories,"Lewis, Strong and Luna",21.2,8.27,4.79,4.9,30,True,2022-11-17
183,Public-key reciprocal support,Clothing,Shoes,Flynn-Soto,70.69,36.04,23.4,5.0,6,True,2022-08-18
184,Horizontal grid-enabled service-desk,Food & Gourmet,Gourmet & Specialty,Jones-Flores,41.6,26.35,20.95,3.2,40,True,2022-02-26
185,Robust maximized parallelism,Toys & Games,Action Figures,"Maynard, Bruce and Freeman",198.0,102.18,21.7,3.2,160,True,2022-09-16
186,Sharable hybrid open architecture,Beauty & Personal Care,Skincare,"Beck, Monroe and Salinas",48.36,19.8,6.71,2.8,369,False,2022-10-11
187,Multi-tiered coherent challenge,Books,Children's,Lee and Sons,10.15,5.55,18.71,5.0,166,True,2022-11-29
188,Proactive bandwidth-monitored Graphic Interface,Clothing,Kids' Clothing,Wheeler and Sons,100.01,46.74,1.72,3.2,126,True,2022-08-08
189,Intuitive full-range structure,Sports & Outdoors,Team Sports,"Tran, Arroyo and Bowman",361.15,234.07,14.08,3.0,304,True,2022-12-12
190,Cloned leadingedge toolset,Electronics,Laptops,Wade Group,728.43,450.72,5.84,4.3,99,True,2022-03-11
191,Versatile real-time strategy,Home & Garden,Decor,Frey-Taylor,240.6,116.28,23.56,4.3,40,True,2022-11-14
192,Upgradable bottom-line core,Books,Fiction,"Pearson, Miller and Mccoy",27.98,12.85,15.22,3.9,72,True,2022-03-25
193,Reactive impactful core,Toys & Games,Educational,"Perez, Powell and Brandt",141.01,68.97,14.19,2.5,44,True,2022-04-04
194,Optional 3rdgeneration definition,Clothing,Men's Wear,Wright-Singleton,124.85,65.82,1.25,2.5,34,True,2022-06-18
195,Automated eco-centric application,Beauty & Personal Care,Fragrance,"Martinez, Blevins and Ward",67.04,19.8,9.95,3.5,82,True,2022-03-02
196,Switchable tertiary Graphic Interface,Beauty & Personal Care,Skincare,Kim-Smith,60.23,23.05,8.45,3.0,76,True,2022-06-30
197,Vision-oriented fault-tolerant challenge,Home & Garden,Garden Tools,Braun-Guzman,13.76,8.11,16.68,3.0,113,True,2022-09-21
198,Devolved intangible info-mediaries,Books,Fiction,Jackson-Sherman,59.02,23.72,11.77,3.9,244,True,2022-12-30
199,Grass-roots tertiary migration,Books,Comics & Graphic Novels,"Wilson, Fuller and Wells",64.79,30.24,8.85,3.6,171,True,2022-12-21
200,Organic user-facing throughput,Clothing,Women's Wear,"Davies, Glenn and Acevedo",152.63,82.7,17.74,2.8,0,True,2022-08-17
201,Multi-tiered real-time Internet solution,Clothing,Shoes,Lopez LLC,241.52,89.59,14.94,3.7,68,True,2022-01-18
202,Customer-focused even-keeled access,Electronics,Tablets,Bailey-Reed,1356.53,980.39,14.04,4.2,88,True,2022-08-30
203,Customizable system-worthy definition,Electronics,Headphones,"Barnes, Hoffman and Robbins",1400.09,779.81,22.37,3.7,87,True,2022-12-26
204,Balanced systematic pricing structure,Electronics,Headphones,Norris-Carter,97.13,59.89,4.72,3.2,61,True,2022-09-26
205,Face-to-face scalable support,Clothing,Kids' Clothing,Acevedo Ltd,223.53,98.5,9.66,3.6,262,True,2022-08-04
206,De-engineered 3rdgeneration leverage,Toys & Games,Action Figures,Jimenez Ltd,127.19,58.69,8.59,3.3,83,True,2022-06-13
207,Assimilated client-server model,Clothing,Accessories,Harris-Reynolds,171.49,79.12,1.35,3.9,257,True,2022-03-01
208,Down-sized modular protocol,Clothing,Men's Wear,"Luna, Newton and Lopez",236.3,87.34,10.04,2.9,0,True,2022-06-07
209,Inverse tertiary customer loyalty,Clothing,Kids' Clothing,"Davis, Casey and Brown",222.96,85.91,16.57,3.5,298,False,2022-03-29
210,Implemented fresh-thinking utilization,Clothing,Women's Wear,Cooper-Smith,157.25,63.97,14.32,3.8,173,True,2022-09-11
211,Cross-platform responsive portal,Clothing,Women's Wear,"Herrera, Reed and Williams",204.9,104.67,11.52,3.3,42,True,2023-01-01
212,Cross-group upward-trending open system,Toys & Games,Board Games,Williams-Anderson,115.36,56.55,24.97,5.0,82,True,2022-11-25
